rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
2698,freight,4,11,10,spacy,0,non-informative,,,,,"Under r. 15 of the Goods Tariff General Rules the mention of the weight of the goods in the receipt did not amount to an admission in that behalf by the railway, and Rule 22 read with Rule 24(2) only made a false declaration as to goods in "
2699,minor son,4,10,10,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The order was confirmed by the Appellate Assistant Commissioner who also referred to the respondent's declaration under the High Denomination Bank Notes (Demonetisation) Ordinance that the amount was made over by the de,ceased, some time be"
2700,culpable homicide,4,10,10,spacy,0,non-informative,,,,,The next question for consideration is whether the appellants are guilty of murder under section 302/34 IPC or culpable homicide not amounting to murder.
2701,minor child,4,10,10,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"In computing the net wealth of an individual, there shall be included, as belonging to that individual- (a) the value of assets which on the valuation date are held- - (i) by the spouse of such individual to whom such assets have been trans"
2702,competent jurisdiction,4,10,10,spacy,1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,Sub-section 2 of section 2 says that the Act applies to every person in respect of whom an order for detention has been made under COFEPOSA provided that such order of detention has not been set aside by a court of competent jurisdiction.
2703,issue nos,4,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Our conclusion in respect of Issue Nos. (i) & (ii) is in the negative.
2704,tax under the act,4,10,10,yake,1,informative,STATUTE-PROVISION,,RULE,,
2705,condonation,4,10,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"As such courts while considering the question of limitation for an offence under Section 498 A i.e. subjecting a women to cruelty by her husband or the relative of her husband, should judge that question in the light of Section 473 (if the "
2706,survival,4,10,10,spacy,0,non-informative,,,,,In that context the price fixed should be minimum possible as the customer or consumer must have the commodity for his survival and cannot afford more than the minimum.
2707,urban area,4,10,10,spacy,0,non-informative,ASPECT,,,,"Mr. C.B. Gururaj, learned counsel for the appellant-detenue and Ms. Anitha Shenoy, learned counsel for the State of Karanataka. 5) The point for consideration in this appeal is whether the Detaining Authority is justified in passing the det"
2708,banks,4,10,10,spacy,0,non-informative,,,,,Learned counsel pointed out that the Managers and officers of the Banks and the firms were examined and they do not say that any loss of interest was caused to them in these transactions.
2709,broadcasting,4,10,10,spacy,0,non-informative,,,,,"Secy., Ministry of Information & Broadcasting, , this Court observed : ""..."
2710,financial institution,4,10,10,spacy,0,non-informative,,,,,"It also held that financial institutions had every right to protect their interest by taking ""conscious decisions""."
2711,deletion,4,10,10,spacy,0,non-informative,,,,,"The last renewal, of course, resulted in the deletion of their son as a beneficiary."
2712,restriction act,4,10,10,spacy,1,informative,STATUTE-PROVISION,,RULE,,"* * "" The terms of s. 15(1) of the Increase of Rent and Mortgage Interest (Restriction) Act, 1920, differ materially from sub-s. (1) of s. 12 of Bombay Act 57 of 1947."
2713,cotton,3,18,10,spacy,0,non-informative,,,,,"XXV of 1938), and in supersession of Government Notification in the Political and Service Department No. 2847/34-2 dated the 14th March, 1939, the Government of Bombay is pleased to direct that the provisions of the Act which have been exte"
2714,leg,3,14,10,spacy,0,non-informative,,,,,Vicky also inflicted a Kirpan blow on the leg of Darshan Singh PW5.
2715,weightage,3,12,10,spacy,0,non-informative,,,,,2 and 5 before it that the financial capacity of the Appellant was not such as to justify an increase of Rs. IO to all the workers over the basic wage and dearness allowance or the payment of Rs. 5 to workmen for implementation of the weigh
2716,mainstream,3,11,10,spacy,0,non-informative,,,,,The gradual assimilation in the mainstream of the society will lead to betterment and progress.
2717,wildlife protection act,3,10,10,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Authorities concerning protection of wildlife under the Wildlife Protection Act, 1972: The Central Government appoints a Director of Wild Life Preservation and the State Government appoints Chief Wild Life Wardens, Wild Life Wardens, and Ho"
2718,court ’s order,3,10,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The above order required that the reports and affidavits filed by states pursuant to this Court’s orders were to be placed before the CEC for its examination and recommendations.
2719,educational qualification,3,10,10,spacy,0,non-informative,,,,,"Consequently, the High Court concluded that the Deceased’s dependants suffered no loss of income and instead computed the compensation by fixing his salary at Rs 25,000/− per month on a notional basis as per his educational qualification."
2720,sale deed execute,3,10,10,rake,1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,
2721,process of the court,3,10,10,yake,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,
2722,sale deed date,3,10,10,rake,0,non-informative,TEMPORAL,,,,
2723,tax v.,3,10,10,textacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,
2724,p. sathasivam,3,10,10,spacy,0,non-informative,,,,,J. (P. SATHASIVAM) ...........................................
2725,standard rent,3,10,10,"spacy,textacy",1,informative,MONETARY-VALUATION,TENANCY-LEASE,EVIDENCE,,"Later, these allottees applied for a fixation of standard rent but ultimately lost in the Punjab High Court at Delhi, Meanwhile, the respondent fell in arrears in paying the licence fee."
2726,recital,3,10,10,spacy,0,non-informative,,,,,Evidently they came to the conclusion that those recitals were make-believe statements and the alleged Trust does not exist.
2727,demand notice,3,10,10,"spacy,textacy",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The sales tax authorities in West Bengal, however, took a different view of the matter, and after sundry procedure resulting in assessment of tax, presented a demand notice for the tax assessed which was paid under protest by the appellant "
2728,statutory duty,3,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,""" While commenting on the order of the Industrial Court where it is stated that the maintenance of gardens though a matter concerning health or welfare of the employees was not mandatory on the management of a cotton textile mill undertakin"
2729,criminal justice system,3,10,10,spacy,1,informative,LEGAL-CONCEPT,CRIMINAL,ISSUE,,"If the criminal trial is not free and fair and not free from bias, judicial fairness and the criminal justice system would be at stake shaking the confidence of the public in the system and woe would be the rule of law."
2730,revenue receipt,3,10,10,spacy,1,informative,INSTRUMENT-EVIDENCE,REVENUE-TENURE,EVIDENCE,,"The assessee utilised these goods in the manufacture of finished products and sold the same in the market and the sale proceeds received by the assessee were credited in the trading account maintained in the books account of the business, s"
2731,muscle,3,10,10,spacy,0,non-informative,,,,,Underlying subcutaneous tissue and muscles cut.
2732,acquire property,3,10,10,spacy,1,informative,PROPERTY-RES,LAND-ACQUISITION,EVIDENCE,,The market value of the acquired property was more than Rs.
2733,social welfare,3,10,10,spacy,0,non-informative,,,,,Profits constitute the surplus available for savings and investment on the one hand and contribution to national social welfare programme on the other; and if public enterprises do not make profits the national surplus available for steppin
2734,transfer petition,3,10,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,### Transfer Petition (crl.)#Transfer Petition (crl.)
2735,environmental law,3,10,10,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,Specific criteria for the interpretation of environmental law.
2736,village panchayat,3,10,10,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"By this process, the village panchayats will be able to meet the needs of the village community and secure its welfare."
2737,court vide order,3,10,10,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"In view of the serious controversy raised in these appeals, this Court vide order dated 24.2.2011, requested the CWC to make a local inspection and submit its report as to whether the land measuring 284.03 hectares in these 5 villages, woul"
2738,united kingdom,3,10,10,spacy,0,non-informative,,,,,"He sold his business to the plaintiff and covenanted not to compete with the plaintiff as a ""dealer in real or imitation jewellery in any part of the United Kingdom, the United States of America, Russia or Spain""."
2739,adequacy,3,10,10,spacy,0,non-informative,,,,,Sub-section (1) of Section 3 of the said Act permits the nominated authority to enter and inspect the building or premises at any time for ascertaining the adequacy or contravention of fire prevention and fire safety measures.
2740,panchayat raj,3,10,10,spacy,0,non-informative,CITATION-REF,,,,"In Aircraft Employees’ Housing Cooperative Society Limited v. Secretary, Rural Development and Panchayat Raj, Government of Karnataka, Bangalore and others[6], though in the context of the pre-amended Land Acquisition Act, this court has de"
2741,mortgagor,3,10,10,spacy,1,informative,PARTY-ACTOR,MORTGAGE-CHARGE,ACTOR,,There what had happened was that the mortgage included the pannai lands which belonged to the mortgagor and which were in his enjoyment.
2742,technology,2,21,10,spacy,0,non-informative,,,,,PFBR is built with the design and technology developed at Indira Gandhi Centre for Atomic Research (IGCAR).
2743,coverage,2,20,10,spacy,0,non-informative,,,,,"Then it also applied 'the dividend tests, examined the main profitable ratio, considered the total dividend as coverage by paid up capital, compared gross profits and total capital employed and profits and profitability in relation to per d"
2744,a-2,2,17,10,spacy,0,non-informative,,,,,Some of the grounds urged by him are common in assailing the conviction of other two co-accused named Varinderjit Singh @ Vicky (A-2) and Gursharan Singh (A-6).
2745,kirpan,2,16,10,spacy,0,non-informative,,,,,"The accused Varinderjit Singh has been charged in furtherance of common intention of the unlawful assembly with common object to have caused grievous injuries to Harjinder Singh by means of ""Kirpan,"" constituting an offence under Section 32"
2746,beach,2,12,10,spacy,0,non-informative,,,,,"Following the letter of the then Prime Minister, a working group was constituted which formulated some environmental guidelines for the development of beaches in the year 1983."
2747,dog,2,12,10,spacy,0,non-informative,,,,,The prosecution story is that the appellant-Ankush Shivaji Gaikwad accompanied by Madhav Shivaji Gaikwad (accused No.2) and Shivaji Bhivaji Gaikwad (accused No.3) were walking past the field of the deceased when a dog owned by the deceased 
2748,dishonour,2,11,10,spacy,0,non-informative,,,,,It must be remembered that offence under Section 138 would not be completed with the dishonour of the cheque.
2749,regulator,2,11,10,spacy,0,non-informative,,,,,"In Part II, to entrench environmental rule of law in our environmental governance, we have attempted to formulate some new principles for the effective monitoring of various bodies, institutions, and regulators established for protecting ou"
2750,flora,2,11,10,spacy,0,non-informative,,,,,"We are however deeply concerned with the safety and security of the people of this country, its environment, its flora and fauna, its marine life, ecology, bio-diversity and so on which the policy makers cannot be on the guise of national p"
2751,summit,2,11,10,spacy,0,non-informative,,,,,"The Summit recognized that the reduction of poverty is the greatest global challenge facing the world, for which the World Solidarity Fund was required to be established to eradicate poverty and to promote social and human development in va"
2752,appeal lie,2,10,10,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,Thus he does not cease to be an officer of the State Government even though in disposing of appeals lie is exercising delegated powers.
